Our lives begin to end the day we become silent about things that matter.|1
We must use time creatively, in the knowledge that the time is always right to do right.|1
Now is the time to make real the promises of democracy.|1
Evil may so shape events that Caesar will occupy a palace and Christ a cross, but one day that same Christ will rise up and split history into AD and BC so that even the life of Caesar must be dated by his name|1
"We must rapidly begin the shift from a ""thing-oriented"" society to a ""person-oriented"" society. When machines and computers, profit motives and property rights are considered more important than people, the giant triplets of racism, materialism and militarism are incapable of being conquered"|1
It takes empathy, patience, and compassion to overcome anger, hatred, and resentment.|1
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.|1
Love is the only force capable of transforming an enemy into friend.|1
Peace is more precious than diamonds or silver or gold.|1
History will have to record that the greatest tragedy of this period of social transition was not the strident clamor of the bad people, but the appalling silence of the good people.|1
If you can fly, then run. If you can't run, then walk. If you can't walk, then crawl, but whatever you do, you have to keep moving forward.|1
That old law about an eye for an eye leaves everybody blind. The time is always right to do the right thing right.|1
We must learn to live together as brothers or we will perish together as fools.|1
We are not makers of history. We are made by history.|1
In the end, we will remember not the words of our enemies, but the silence of our friends.|1
I have decided to stick with love. Hate is too great a burden to bear.|1
We are prone to judge success by the index of our salaries or the size of our automobiles, rather than by the quality of our service relationship to humanity.|1
People fail to get along because they fear each other; they fear each other because they don't know each other; they don't know each other because they have not communicated with each other.|1
For when people get caught up with that which is right and they are willing to sacrifice for it, there is no stopping point short of victory|1
Nonviolence is a powerful and just weapon, which cuts without wounding and ennobles the man who wields it. It is a sword that heals.|1
A man who stands for nothing will fall for anything.|0
Education is the passport to the future, for tomorrow belongs to those who prepare for it today.|0
A wise man can play the part of a clown, but a clown can't play the part of a wise man.|0
Don't be in a hurry to condemn because he doesn't do what you do or think as you think or as fast. There was a time when you didn't know what you know today.|0
This is the media, an irresponsible media. It will make the criminal look like he's the victim and make the victim look like he's the criminal. If you aren't careful. The media will have you hating the people who are being oppressed and loving the people who are doing the oppressing.|0
Education is the passport to the future, for tomorrow belongs to those who prepare for it today.|0
I'm going to tell it like it is. I hope you can take it like it is.|0
There is no better than adversity. Every defeat, every heartbreak, every loss, contains its own seed, its own lesson on how to improve your performance next time.|0
And I, for one, will join in with anyone- I don't care what color you are - as long as you want to change this miserable condition that exists on this earth.|0
You're not supposed to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who says it.|0
I believe in human rights for everyone, and none of us is qualified to judge each other and that none of us should therefore have that authority.|0
Nonviolence is fine as long as it works.|0
By any means|0
We need more light about each other. Light creates understanding, understanding creates love, love creates patience and patience creates unity.|0
Early in life I had learned that if you want something, you had better make some noise.|0
Without education you're not going anywhere in this world.|0
All of our experiences fuse into our personality. Everything that ever happened to us is an ingredient.|0
History is not hatred.|0
Children have a lesson adults should learn, to not be ashamed of failings, but to get up and try again.|0
Be peaceful, be courteous, obey the law, respect everyone; but if someone puts his hand on you, send him to the cemetery.|0
